SeasonYear,DefenseTeam,Defensive_coordinator,Defensive_alignment
2015,MIA,"Lou Anarumo, Kevin Coyle",4-3
2015,ARI,James Bettcher,3-4
2015,CIN,Paul Guenther,4-3
2015,KC,Bob Sutton,3-4
2015,JAX,Bob Babich,4-3
2015,OAK,Ken Norton,4-3
2015,NE,Matt Patricia,4-3
2015,WAS,Joe Barry,3-4
2015,DAL,Rod Marinelli,4-3
2015,NYJ,Kacy Rodgers,3-4
2015,BAL,Dean Pees,3-4
2015,IND,Greg Manusky,3-4
2015,GB,Dom Capers,3-4
2015,TEN,Ray Horton,3-4
2015,DEN,Wade Phillips,3-4
2015,MIN,George Edwards,4-3
2015,CHI,Vic Fangio,3-4
2015,ATL,Richard Smith,4-3
2015,NO,"Dennis Allen, Rob Ryan",4-3
2015,SEA,Kris Richard,4-3
2015,LA,Gregg Williams,4-3
2015,LAC,John Pagano,3-4
2015,SF,Eric Mangini,3-4
2015,DET,Teryl Austin,4-3
2015,CLE,Jim O'Neil,3-4
2015,BUF,Dennis Thurman,3-4
2015,PHI,Bill Davis,3-4
2015,PIT,Keith Butler,3-4
2016,CAR,Sean McDermott,4-3
2016,NYG,Steve Spagnuolo,4-3
2016,HOU,Romeo Crennel,3-4
2016,TB,Mike Smith,4-3
2016,MIA,Vance Joseph,4-3
2016,ARI,James Bettcher,3-4
2016,CIN,Paul Guenther,4-3
2016,KC,Bob Sutton,3-4
2016,JAX,Todd Wash,4-3
2016,OAK,Ken Norton,4-3
2016,NE,Matt Patricia,4-3
2016,WAS,Joe Barry,3-4
2016,DAL,Rod Marinelli,4-3
2016,NYJ,Kacy Rodgers,3-4
2016,BAL,Dean Pees,3-4
2016,IND,Ted Monachino,3-4
2016,GB,Dom Capers,3-4
2016,TEN,Dick LeBeau,3-4
2016,DEN,Wade Phillips,3-4
2016,MIN,George Edwards,4-3
2016,CHI,Vic Fangio,3-4
2016,ATL,Richard Smith,4-3
2016,NO,Dennis Allen,4-3
2016,SEA,Kris Richard,4-3
2016,LA,Gregg Williams,4-3
2016,LAC,John Pagano,3-4
2016,SF,Jim O'Neil,3-4
2016,DET,Teryl Austin,4-3
2016,CLE,Ray Horton,3-4
2016,BUF,Dennis Thurman,3-4
2016,PHI,Jim Schwartz,4-3
2016,PIT,Keith Butler,3-4
2017,CAR,Steve Wilks,4-3
2017,NYG,Steve Spagnuolo,4-3
2017,HOU,Mike Vrabel,3-4
2017,TB,Mike Smith,4-3
2017,MIA,Matt Burke,4-3
2017,ARI,James Bettcher,3-4
2017,CIN,Paul Guenther,4-3
2017,KC,Bob Sutton,3-4
2017,JAX,Todd Wash,4-3
2017,OAK,"Ken Norton, John Pagano",3-4
2017,NE,Matt Patricia,4-3
2017,WAS,Greg Manusky,3-4
2017,DAL,Rod Marinelli,4-3
2017,NYJ,Kacy Rodgers,3-4
2017,BAL,Dean Pees,3-4
2017,IND,Ted Monachino,3-4
2017,GB,Dom Capers,3-4
2017,TEN,Dick LeBeau,3-4
2017,DEN,Joe Woods,3-4
2017,MIN,George Edwards,4-3
2017,CHI,Vic Fangio,3-4
2017,ATL,Marquand Manuel,4-3
2017,NO,Dennis Allen,4-3
2017,SEA,Kris Richard,4-3
2017,LA,Wade Phillips,3-4
2017,LAC,Gus Bradley,4-3
2017,SF,Robert Saleh,4-3
2017,DET,Teryl Austin,4-3
2017,CLE,Gregg Williams,4-3
2017,BUF,Leslie Frazier,4-3
2017,PHI,Jim Schwartz,4-3
2017,PIT,Keith Butler,3-4
